                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3812,                 2.3526,                 1.3788,                 0.6038,                0.47703,                0.52946,                 0.3913,                 1.1954,                 2.0518,                 1.2549,             6.2853e-05,             6.2853e-05,             6.2853e-05
                      2,                 1.3506,                 2.1724,                 1.3604,                0.57679,                0.49761,                0.53705,                0.39421,                 1.1905,                 2.0104,                 1.2732,             0.00011962,             0.00011962,             0.00011962
                      3,                 1.3498,                 2.0619,                 1.3597,                0.62915,                0.49256,                0.53599,                0.38263,                 1.2623,                 2.0353,                 1.3027,             0.00017016,             0.00017016,             0.00017016
                      4,                  1.318,                 1.9745,                 1.3447,                0.62952,                 0.5377,                 0.5619,                0.41128,                 1.1763,                 1.8893,                 1.2495,             0.00016093,             0.00016093,             0.00016093
                      5,                 1.2898,                 1.8965,                 1.3191,                0.67183,                 0.5149,                0.57782,                0.42753,                 1.1552,                 1.8255,                 1.2348,             0.00015158,             0.00015158,             0.00015158
                      6,                 1.2769,                 1.8269,                 1.3205,                0.70468,                0.51585,                0.59023,                0.43862,                  1.149,                 1.7588,                 1.2114,             0.00014222,             0.00014222,             0.00014222
                      7,                 1.2622,                 1.7664,                 1.3016,                 0.6813,                0.55811,                0.60149,                0.44837,                  1.132,                 1.7132,                 1.2159,             0.00013287,             0.00013287,             0.00013287
                      8,                 1.2254,                 1.6862,                 1.2801,                0.71209,                0.54799,                0.61695,                0.45842,                 1.1362,                 1.6988,                 1.2245,             0.00012351,             0.00012351,             0.00012351
                      9,                 1.2143,                 1.6392,                  1.274,                0.73296,                0.55062,                0.62194,                0.47116,                 1.1046,                 1.6353,                 1.1967,             0.00011416,             0.00011416,             0.00011416
                     10,                  1.202,                 1.6034,                 1.2641,                0.72103,                0.54886,                0.62848,                0.46355,                 1.1455,                 1.6469,                  1.232,              0.0001048,              0.0001048,              0.0001048
                     11,                 1.1254,                 1.3635,                 1.2639,                0.77937,                0.54291,                0.63951,                0.47685,                 1.1078,                 1.6083,                 1.2074,             9.5445e-05,             9.5445e-05,             9.5445e-05
                     12,                 1.0987,                 1.2876,                 1.2395,                0.78504,                0.54167,                0.64233,                0.47901,                 1.1113,                 1.5712,                 1.2007,              8.609e-05,              8.609e-05,              8.609e-05
                     13,                 1.0739,                 1.2349,                 1.2281,                0.75536,                0.55987,                 0.6486,                0.48488,                 1.1023,                 1.5725,                 1.1987,             7.6734e-05,             7.6734e-05,             7.6734e-05
                     14,                 1.0567,                 1.2009,                 1.2154,                 0.7377,                0.57606,                0.65418,                0.49183,                 1.0885,                  1.553,                 1.1935,             6.7378e-05,             6.7378e-05,             6.7378e-05
                     15,                 1.0402,                 1.1713,                 1.2071,                0.77651,                0.55699,                0.65271,                0.49177,                 1.0991,                 1.5461,                 1.2059,             5.8023e-05,             5.8023e-05,             5.8023e-05
                     16,                 1.0249,                 1.1345,                 1.1917,                0.77887,                0.56169,                0.64937,                 0.4894,                 1.0938,                 1.5472,                  1.203,             4.8668e-05,             4.8668e-05,             4.8668e-05
                     17,                 1.0063,                 1.1057,                 1.1778,                 0.7509,                0.57726,                0.65384,                 0.4899,                 1.0931,                  1.548,                 1.2007,             3.9312e-05,             3.9312e-05,             3.9312e-05
                     18,                0.99779,                  1.096,                 1.1709,                0.78746,                0.56501,                0.65576,                0.49308,                 1.0887,                 1.5318,                 1.1969,             2.9957e-05,             2.9957e-05,             2.9957e-05
                     19,                0.98389,                 1.0698,                 1.1657,                0.77609,                0.57164,                0.65651,                0.49585,                 1.0857,                 1.5175,                 1.1954,             2.0601e-05,             2.0601e-05,             2.0601e-05
                     20,                0.97132,                 1.0547,                 1.1557,                0.79982,                 0.5602,                0.65541,                0.49549,                 1.0831,                 1.5203,                 1.1942,             1.1246e-05,             1.1246e-05,             1.1246e-05
